period,filter,trades,winners,win_rate,net_profit,profit_factor,expectancy,fees,pre_fee_profit,average_hold_hours
DEVELOPMENT,BASE_ALL_TRADES,38,9,23.684210526315788,-279.21407938,0.4768186529584156,-7.347738931052631,156.33919143,-122.87488794999999,6.434210526315789
DEVELOPMENT,PRIOR_DAY_RECOVERY,20,5,25.0,-147.14680039,0.3675199055289343,-7.3573400195000005,80.90559754999998,-66.24120284000003,4.425
DEVELOPMENT,PRIOR_DAY_MACRO_BULL,6,3,50.0,-24.508830969999998,0.6018400482547392,-4.084805161666666,22.509236700000002,-1.9995942699999958,4.958333333333333
DEVELOPMENT,POSITIVE_24H_72H_MOMENTUM,38,9,23.684210526315788,-279.21407938,0.4768186529584156,-7.347738931052631,156.33919143,-122.87488794999999,6.434210526315789
DEVELOPMENT,HOURLY_TREND_QUALITY,16,4,25.0,-121.62494593,0.3579354527266116,-7.601559120625,67.04270625,-54.58223968,4.859375
DEVELOPMENT,MACRO_BULL_PLUS_MOMENTUM,6,3,50.0,-24.508830969999998,0.6018400482547392,-4.084805161666666,22.509236700000002,-1.9995942699999958,4.958333333333333
DEVELOPMENT,STRICT_MACRO_TREND,6,3,50.0,-24.508830969999998,0.6018400482547392,-4.084805161666666,22.509236700000002,-1.9995942699999958,4.958333333333333
DEVELOPMENT,ADX_25_PLUS,17,2,11.76470588235294,-225.65338542,0.11915349998750926,-13.273728554117648,65.0933148,-160.56007062,4.602941176470588
DEVELOPMENT,VOLUME_1_PLUS,27,8,29.629629629629626,-70.49899746999999,0.7743015984011508,-2.61107398037037,111.69244030999998,41.19344283999999,7.25
DEVELOPMENT,NOT_OVEREXTENDED_2_PERCENT,27,7,25.925925925925924,-252.82540994000001,0.33121135980649585,-9.363904071851852,114.29824750999998,-138.52716243000003,5.944444444444445
VALIDATION,BASE_ALL_TRADES,8,4,50.0,94.97032825,2.259474711738728,11.87129103125,31.05374494,126.02407319,16.53125
VALIDATION,PRIOR_DAY_RECOVERY,4,0,0.0,-75.40471227,0.0,-18.8511780675,15.925023020000001,-59.47968925000001,9.125
VALIDATION,PRIOR_DAY_MACRO_BULL,3,0,0.0,-45.009428490000005,0.0,-15.003142830000002,10.887698180000001,-34.121730310000004,10.083333333333334
VALIDATION,POSITIVE_24H_72H_MOMENTUM,7,3,42.857142857142854,94.19664107999999,2.2492142499358945,13.45666301142857,28.503587890000002,122.70022897,17.107142857142858
VALIDATION,HOURLY_TREND_QUALITY,2,1,50.0,41.26134815,3.5053126284401332,20.630674075,8.372091619999999,49.63343977,12.25
VALIDATION,MACRO_BULL_PLUS_MOMENTUM,3,0,0.0,-45.009428490000005,0.0,-15.003142830000002,10.887698180000001,-34.121730310000004,10.083333333333334
VALIDATION,STRICT_MACRO_TREND,2,0,0.0,-42.67185509,0.0,-21.335927545,6.218383360000001,-36.453471730000004,10.375
VALIDATION,ADX_25_PLUS,5,3,60.0,122.73652892999999,3.6189478025147794,24.547305786,21.01847262,143.75500155,20.5
VALIDATION,VOLUME_1_PLUS,4,2,50.0,39.69746192,3.110768395170533,9.92436548,15.591563489999999,55.28902541,11.625
VALIDATION,NOT_OVEREXTENDED_2_PERCENT,6,3,50.0,53.708980100000005,1.9113230455523151,8.951496683333334,22.68165332,76.39063342,17.958333333333332
COMBINED,BASE_ALL_TRADES,46,13,28.26086956521739,-184.24375113000005,0.6975097050095386,-4.005298937608697,187.39293637,3.1491852399999516,8.190217391304348
COMBINED,PRIOR_DAY_RECOVERY,24,5,20.833333333333336,-222.55151266000001,0.2775596223586551,-9.272979694166667,96.83062057000001,-125.72089209,5.208333333333333
COMBINED,PRIOR_DAY_MACRO_BULL,9,3,33.33333333333333,-69.51825946,0.3476425054379169,-7.724251051111111,33.39693488,-36.12132457999999,6.666666666666667
COMBINED,POSITIVE_24H_72H_MOMENTUM,45,12,26.666666666666668,-185.01743830000004,0.6962394700146024,-4.1114986288888895,184.84277932,-0.17465898000003222,8.094444444444445
COMBINED,HOURLY_TREND_QUALITY,18,5,27.77777777777778,-80.36359777999999,0.6096911490060353,-4.464644321111111,75.41479787,-4.948799909999991,5.680555555555555
COMBINED,MACRO_BULL_PLUS_MOMENTUM,9,3,33.33333333333333,-69.51825946,0.3476425054379169,-7.724251051111111,33.39693488,-36.12132457999999,6.666666666666667
COMBINED,STRICT_MACRO_TREND,8,3,37.5,-67.18068606,0.35543932526587024,-8.3975857575,28.72762006,-38.453066,6.3125
COMBINED,ADX_25_PLUS,22,5,22.727272727272727,-102.91685649,0.6603882675248487,-4.678038931363637,86.11178742,-16.805069070000002,8.215909090909092
COMBINED,VOLUME_1_PLUS,31,10,32.25806451612903,-30.801535549999993,0.9069907662224233,-0.9935979209677417,127.28400379999998,96.48246824999998,7.814516129032258
COMBINED,NOT_OVEREXTENDED_2_PERCENT,33,10,30.303030303030305,-199.11642984,0.5443247310855127,-6.033831207272727,136.97990083,-62.136529010000004,8.128787878787879
DEVELOPMENT,LINK_IGNITION_MACRO_BULL,3,1,33.33333333333333,-46.44565848,0.2135365231782813,-15.48188616,8.60985899,-37.83579949,3.5
DEVELOPMENT,LINK_IGNITION_STRICT_MACRO,3,1,33.33333333333333,-46.44565848,0.2135365231782813,-15.48188616,8.60985899,-37.83579949,3.5
DEVELOPMENT,SOL_BREAKOUT_MACRO_BULL,3,2,66.66666666666666,21.93682751,9.778615119816994,7.312275836666667,13.89937771,35.83620522,6.416666666666667
DEVELOPMENT,SOL_BREAKOUT_STRICT_MACRO,3,2,66.66666666666666,21.93682751,9.778615119816994,7.312275836666667,13.89937771,35.83620522,6.416666666666667
VALIDATION,LINK_IGNITION_MACRO_BULL,1,0,0.0,-26.20231445,0.0,-26.20231445,2.8158004500000002,-23.386514,7.75
VALIDATION,LINK_IGNITION_STRICT_MACRO,1,0,0.0,-26.20231445,0.0,-26.20231445,2.8158004500000002,-23.386514,7.75
VALIDATION,SOL_BREAKOUT_MACRO_BULL,2,0,0.0,-18.807114040000002,0.0,-9.403557020000001,8.07189773,-10.735216310000002,11.25
VALIDATION,SOL_BREAKOUT_STRICT_MACRO,1,0,0.0,-16.46954064,0.0,-16.46954064,3.40258291,-13.066957730000002,13.0
COMBINED,LINK_IGNITION_MACRO_BULL,4,1,25.0,-72.64797293,0.14791091801722112,-18.1619932325,11.42565944,-61.22231348999999,4.5625
COMBINED,LINK_IGNITION_STRICT_MACRO,4,1,25.0,-72.64797293,0.14791091801722112,-18.1619932325,11.42565944,-61.22231348999999,4.5625
COMBINED,SOL_BREAKOUT_MACRO_BULL,5,2,40.0,3.1297134699999987,1.1468934717015224,0.6259426939999997,21.97127544,25.100988909999998,8.35
COMBINED,SOL_BREAKOUT_STRICT_MACRO,4,2,50.0,5.467286869999999,1.2882307903226116,1.3668217174999997,17.30196062,22.769247489999998,8.0625
