period,route,symbol,entry_time,exit_time,exit_reason,profit,current_mfe_r,forward_48h_mfe_r,post_exit_additional_mfe_r,future_reached_2r_after_exit
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,STOP LOSS,7.5672838,2.276724990497619,8.050197772443568,5.930181606986437,False
DEVELOPMENT,IGNITION,LINKUSDT,2025-08-10 09:00:00,2025-08-10 14:00:00,STOP LOSS,-32.06912979,0.3146876697072179,0.7823334155168057,1.7957686502905787,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-08-10 22:00:00,2025-08-11 01:00:00,STOP LOSS,-33.74604727,0.048436251757432235,5.012843938244009,2.626389089460434,True
DEVELOPMENT,IGNITION,LINKUSDT,2025-08-13 09:00:00,2025-08-13 12:15:00,STOP LOSS,12.6106866,2.027319024425514,2.027319024425514,1.8300930204596815,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,STOP LOSS,17.91380394,2.5242260589704184,4.902557142078826,2.9796247306272376,False
DEVELOPMENT,IGNITION,LINKUSDT,2025-09-09 04:00:00,2025-09-09 14:45:00,STOP LOSS,-0.67726022,1.6483032242123536,1.936830387470988,1.8452610724921845,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-09-11 11:00:00,2025-09-11 12:45:00,MARKET SEVERE SHOCK,6.52191744,1.5455693512527386,9.59035660129493,6.798477166874745,True
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-09-18 17:00:00,2025-09-18 18:15:00,STOP LOSS,-2.49889387,1.491552983877253,1.491552983877253,0.3327491418525824,False
DEVELOPMENT,IGNITION,LINKUSDT,2025-09-19 05:00:00,2025-09-19 07:15:00,STOP LOSS,-26.98721529,-0.0077024640612186205,0.6203954636784248,1.660676111055651,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-09-29 21:00:00,2025-09-30 00:30:00,STOP LOSS,-27.41156868,0.09394099889664453,2.7334555889590035,0.5272771801790634,True
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-10-01 13:00:00,2025-10-03 02:00:00,STOP LOSS,111.34776224,6.3414598225288605,6.3414598225288605,2.472132845623791,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-10-03 16:00:00,2025-10-03 17:15:00,STOP LOSS,-35.124626,0.7731471724319368,0.8544297737518352,1.2618428112793658,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-10-26 10:00:00,2025-10-27 08:30:00,STOP LOSS,40.04408268,4.719421960418663,4.719421960418663,1.668066239652207,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-10-28 09:00:00,2025-10-28 10:15:00,STOP LOSS,-27.96862545,0.12652689713343268,0.12652689713343268,0.8155980476139006,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-12-08 10:00:00,2025-12-08 15:15:00,STOP LOSS,-20.00537384,0.5241574926467618,3.0608515001384573,0.4029144446342999,True
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2025-12-12 06:00:00,2025-12-12 15:15:00,STOP LOSS,-15.61981321,0.5625546190992364,0.5625546190992364,-0.14665232121025495,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-01-03 22:00:00,2026-01-04 19:15:00,STOP LOSS,10.00818846,2.049174053931177,5.457164118908242,3.562965359370917,False
DEVELOPMENT,IGNITION,LINKUSDT,2026-01-05 15:00:00,2026-01-06 00:45:00,STOP LOSS,15.09822084,2.674255211499946,3.258861569466107,3.0815141092087166,False
DEVELOPMENT,IGNITION,LINKUSDT,2026-01-06 15:00:00,2026-01-06 16:30:00,MARKET SEVERE SHOCK,-21.67615907,0.2839742503900458,0.2839742503900458,0.791362725261299,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-01-12 03:00:00,2026-01-12 03:45:00,STOP LOSS,-2.44360782,1.455612656148613,4.765227086067541,1.2936517629797635,True
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-01-12 16:00:00,2026-01-12 17:00:00,STOP LOSS,-2.21042733,1.1569826183333514,4.1963958266004155,1.210365810540965,True
DEVELOPMENT,IGNITION,LINKUSDT,2026-01-15 13:00:00,2026-01-15 14:45:00,MARKET SEVERE SHOCK,-18.83121406,0.6335750404979478,0.6335750404979478,0.448328220881812,False
DEVELOPMENT,IGNITION,LINKUSDT,2026-02-26 10:00:00,2026-02-26 15:00:00,STOP LOSS,-25.61774201,0.1584260537176151,0.1584260537176151,0.9995145350748382,False
DEVELOPMENT,IGNITION,LINKUSDT,2026-03-05 15:00:00,2026-03-05 15:15:00,MARKET SEVERE SHOCK,-27.36595827,0.10189577403837892,0.10189577403837892,0.36377556964764673,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-03-10 16:00:00,2026-03-10 18:15:00,STOP LOSS,-26.31266325,0.34382311476092764,0.34382311476092764,0.6109054527114859,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-03-13 13:00:00,2026-03-13 15:00:00,STOP LOSS,-2.20279538,1.5772008551795786,1.5772008551795786,0.0844022833530908,False
DEVELOPMENT,IGNITION,LINKUSDT,2026-03-15 00:00:00,2026-03-15 13:15:00,STOP LOSS,-1.70925618,1.2174977743606459,7.58065362839284,5.410753013351981,True
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-03-15 22:00:00,2026-03-16 01:15:00,STOP LOSS,33.35905525,2.1738858606313776,5.211183216929534,4.199658291079183,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-03-16 21:00:00,2026-03-16 23:15:00,STOP LOSS,-2.4803293,1.6756248871475192,1.6756248871475192,0.9325770186888012,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-03-17 19:00:00,2026-03-18 00:30:00,STOP LOSS,-35.4052885,0.21493522324133021,0.2415432521981043,1.2833401108417966,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-03-24 08:00:00,2026-03-24 13:45:00,STOP LOSS,-27.33449558,0.4712468454727353,1.7403729953632148,2.7864528946518528,False
DEVELOPMENT,IGNITION,LINKUSDT,2026-03-25 20:00:00,2026-03-26 02:45:00,STOP LOSS,-28.05792043,0.521353644558163,0.521353644558163,0.19434752577004052,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-04-09 18:00:00,2026-04-09 18:30:00,STOP LOSS,-27.10495435,0.008317391575844723,1.3629414267286328,2.408331930484706,False
DEVELOPMENT,IGNITION,LINKUSDT,2026-04-10 05:00:00,2026-04-10 08:00:00,STOP LOSS,-28.50929304,0.31003281499589824,3.7123133636476697,3.5512377375126234,True
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-04-10 13:00:00,2026-04-10 16:00:00,STOP LOSS,-2.44304111,1.837061569109897,2.711886486732598,1.8446661905474926,True
DEVELOPMENT,IGNITION,LINKUSDT,2026-04-21 16:00:00,2026-04-21 17:15:00,STOP LOSS,-27.00065669,0.15055863259282692,1.332182956408333,2.3780849257034364,False
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,2026-04-22 03:00:00,2026-04-22 17:00:00,STOP LOSS,-2.43566731,1.8041754012387137,1.8041754012387137,0.7959018279535497,False
DEVELOPMENT,IGNITION,LINKUSDT,2026-04-26 15:00:00,2026-04-27 01:30:00,STOP LOSS,-2.43505733,1.1169673667467688,1.2230824500402089,1.1225105003527742,False
VALIDATION,IGNITION,LINKUSDT,2026-05-04 18:00:00,2026-05-06 14:00:00,STOP LOSS,83.58279492,5.013410657238045,5.013410657238045,0.9597184856896911,False
VALIDATION,IGNITION,LINKUSDT,2026-05-07 07:00:00,2026-05-07 14:45:00,STOP LOSS,-26.20231445,0.4038912061191092,3.387849632118339,0.875184002998876,True
VALIDATION,ADAPTIVE_BREAKOUT,SOLUSDT,2026-05-09 02:00:00,2026-05-09 15:00:00,STOP LOSS,-16.46954064,0.4865690637172765,2.769226795830354,1.5721628486097203,True
VALIDATION,ADAPTIVE_BREAKOUT,SOLUSDT,2026-05-11 16:00:00,2026-05-12 01:30:00,STOP LOSS,-2.3375734,1.2572095731932476,1.2572095731932476,0.05186831339584968,False
VALIDATION,ADAPTIVE_BREAKOUT,SOLUSDT,2026-06-15 11:00:00,2026-06-15 22:30:00,STOP LOSS,57.73088879,6.304463098479348,6.304463098479348,2.586818874215753,False
VALIDATION,IGNITION,LINKUSDT,2026-07-03 06:00:00,2026-07-04 09:45:00,STOP LOSS,28.28766964,2.8745448461159633,4.360360279652346,3.1237584837603354,False
VALIDATION,IGNITION,LINKUSDT,2026-07-10 02:00:00,2026-07-10 14:30:00,STOP LOSS,0.77368717,0.9791481812947123,1.6883623556775662,1.1523860127929422,False
VALIDATION,IGNITION,LINKUSDT,2026-07-16 02:00:00,2026-07-16 08:15:00,STOP LOSS,-30.39528378,0.7389981141475972,0.7389981141475972,0.5383101544901804,False
